,Weight (g),Calories,Total Fat (g),"Saturated
Fat (g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium
(mg)","Carbohydrate
(g)",Fibre (g),Sugar (g),"Protein
(g)","Vitamin A
(%DV)","Vitamin C
(%DV)","Calcium
(%DV)",Iron (%DV)
Sous Vide Egg Whites with Monterey Jack & Peppers,130,170,7,5,0.2,25,500,13,1,2,13,15%,8%,10%,2%
"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg White Breakfast Sandwich",120,210,5,2,0,20,560,26,0,2,18,6%,0%,10%,8%
Egg & Cheddar on English Muffin,110,280,13,5,0.2,160,460,27,2,2,12,15%,8%,10%,15%
"Spinach, Feta & Egg White Breakfast Wrap",158,290,10,3.5,0.2,20,830,33,6,4,19,70%,15%,20%,15%
Sous Vide Eggs with Bacon and Gruyere,130,310,22,14,0.5,185,600,9,0,2,19,25%,0%,25%,6%
"Bacon, Gouda & Egg on Artisan Roll",116,370,19,7,0.1,165,850,32,1,1,18,6%,15%,20%,20%
Steak and Egg Wrap,178,410,18,5,0.1,170,780,43,2,4,21,15%,2%,6%,30%
Spinach Quiche,168,420,24,11,0.5,190,720,36,1,4,15,8%,8%,25%,6%
"Roasted Ham, Swiss & Egg on Croissant Bun",162,450,23,12,0.5,220,780,42,1,6,19,10%,0%,15%,20%
Bacon & Cheddar Breakfast Sandwich,144,470,23,8,0.5,55,1030,43,2,3,19,6%,20%,15%,15%
Bacon Quiche,168,470,27,12,1,210,740,37,1,5,18,4%,2%,25%,10%
Double Smoked Bacon,147,490,27,13,0.1,215,910,40,1,7,17,6%,2%,15%,20%
Carved Ham Breakfast Sandwich,175,490,25,12,0,225,940,41,1,7,25,15%,30%,20%,15%
"Sausage, Egg & Cheddar Classic Breakfast Sandwich",170,500,28,9,0.2,165,920,41,1,3,15,10%,0%,30%,25%
Spicy Chorizo Monterey Jack and Egg,171,500,30,9,0.1,210,860,35,3,3,26,20%,2%,20%,20%
Chicken BLT Sandwich,180,470,25,2.5,0,60,800,36,3,4,27,20%,20%,2%,15%
Turkey Pesto Panini,182,450,17,6,0.2,60,1090,43,1,0,29,20%,25%,30%,25%
Italian Style Ham and Spicy Salami Panini,203,480,20,8,0.3,65,1100,49,3,3,26,20%,20%,20%,30%
Ancho Chipotle Chicken,168,440,18,7,0,60,1020,46,3,3,24,30%,50%,25%,25%
Turkey Havarti,156,440,25,8,0.4,75,1010,32,2,2,26,20%,10%,15%,15%
Chicken Artichoke,180,500,25,8,0.2,65,940,38,5,1,28,10%,70%,25%,15%
Egg Salad Sandwich,185,490,27,4.5,0,360,850,39,6,5,20,25%,15%,6%,25%
Turkey & Basil Pesto Sandwich,201,500,22,6,0.3,75,1230,45,2,2,32,35%,210%,25%,30%
Holiday Turkey Panini (Frozen),230,510,12,4,0.1,70,1170,75,3,12,29,4%,2%,2%,35%
Turkey Rustico Panini (frozen),183,480,18,6,0,55,1120,53,4,13,33,50%,20%,25%,20%
Roasted Tomato & Mozzarell Panini (frozen),147,420,17,5,0,20,820,53,5,0,15,40%,6%,25%,20%
Ham & Swiss Panini (frozen),148,360,10,5,0,50,1150,43,1,1,23,4%,25%,20%,15%
Chicken Santa Fe Panini,152,360,14,6,0.2,60,770,33,2,1,25,15%,90%,15%,15%
Old Fashioned Grilled Cheese,177,580,29,13,0.5,65,1110,57,5,7,28,15%,4%,45%,15%
BBQ Beef Briscuit,187,510,22,10,0.3,65,1210,54,3,5,23,15%,2%,20%,30%
